Name,Address,City,State,Zip Code,Phone,Facility Type,License Type,Capacity,Ages,Current Subsidy Provider
Lord of Life Preschool,5114 Twinbrook Road,FAIRFAX,VA,22032,(703) 323-5581,Child Day Center,Two Year,75,2 years 6 months - 5 years 11 months,No
Lord of Life Preschool - Clifton,13421 Twin Lakes Drive,CLIFTON,VA,20124,(703) 543-8272,Child Day Center,Two Year,55,2 years - 5 years 11 months,No
Loudoun Country Day School (LCDS) - Extended Day,20600 Red Cedar Drive,LEESBURG,VA,20175,(703) 777-3841,Child Day Center,Two Year,75,4 years - 12 years 11 months,No
Loudoun Montessori School,"21690 Red Rum Drive
Suites 182 - 192",ASHBURN,VA,20147,(571) 291-2875,Child Day Center,Two Year,40,1 year 4 months - 7 years 11 months,No
Loudoun P&R - Goshen Post CASA & Camp,24945 Lobo Drive,ALDIE,VA,20105,(703) 777-0357,Child Day Center,Two Year,90,Maria Soto: (571) 835-5058,No
Loudoun P&R - Algonkian CASA and Camp,20196 Carter Ct.,STERLING,VA,20165,(571) 233-0265,Child Day Center,Two Year,"2:00 pm - 6:15 pm, Monday - Friday",75,No
Loudoun P&R - Arcola CASA and Camp,41740 Tall Cedars Parkway,ALDIE,VA,20105,(703) 777-0343,Child Day Center,Two Year,"2:00 pm - 6:15 pm, Monday - Friday",90,No
Loudoun P&R - Ashburn CASA & Camps,44062 Finacastle Drive,ASHBURN,VA,20147,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",75,No
Loudoun P&R - Balls Bluff CASA and Camps,"Balls Bluff Elementary School
821 Battlefield Parkway, NE",LEESBURG,VA,20176,(703) 779-9742,Child Day Center,Two Year,"2:30 p.m. - 6:00 p.m., Monday - Friday",75,No
Loudoun P&R - Belmont Station CASA and Camps,20235 Nightwatch Street,ASHBURN,VA,20147,(703) 777-0343,Child Day Center,Two Year,"2:30 p.m. - 6:00 p.m., Monday - Friday",75,No
Loudoun P&R - Bluemont Community Center,33846 Snickersville Turnpike,BLUEMONT,VA,20135,(540) 554-8643,Child Day Center,Two Year,80,2 years 6 months - 12 years 11 months,No
Loudoun P&R - Buffalo Trail CASA and Camps,42190 Seven Hills Drive,ALDIE,VA,20105,(703) 771-5383,Child Day Center,Two Year,"2:00 p.m. - 6:15 p.m., Monday - Friday",72,No
Loudoun P&R - Cardinal Ridge CASA and CAMP,26155 Bull Run Post Office Road,CENTREVILLE,VA,20120,(703) 777-0357,Child Day Center,Two Year,"2:00 PM - 6:15 PM, Monday - Friday",75,No
Loudoun P&R - Catoctin CASA and Camps,311 Catoctin Circle S.W,LEESBURG,VA,20175,(703) 777-0343,Child Day Center,Two Year,"2:00 - 6:15 pm, Monday - Friday",72,No
Loudoun P&R - Cedar Lane CASA and Camp,43700 Tolamac Drive,ASHBURN,VA,20147,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",75,No
Loudoun P&R - Claude Moore Recreation and Community Center,46105 Loudoun Park Lane,STERLING,VA,20164,(571) 258-3500,Child Day Center,Two Year,160,2 years 6 months - 12 years 11 months,No
Loudoun P&R - Cool Spring CASA and Camps,"501 Tavistock Drive, S.E.",LEESBURG,VA,20175,(703) 777-0357,Child Day Center,Two Year,"2 pm - 6 pm, Monday - Friday",75,No
Loudoun P&R - Countryside CASA and Camps,20624 Countryside Bolevard,STERLING,VA,20165,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",75,No
Loudoun P&R - Creighton's Corner CASA and Camp,23171 Minerva Drive,ASHBURN,VA,20148,(703) 777-0357,Child Day Center,Two Year,"2:30pm - 6:00pm, Monday - Friday",72,No
Loudoun P&R - Discovery CASA and Camp,44020 Grace Bridge Drive,ASHBURN,VA,20147,(703) 777-0357,Child Day Center,Two Year,"2:00 - 6:00, Monday - Friday",75,No
Loudoun P&R - Dominion Trail CASA and Camps,44045 Bruceton Mills Circle,ASHBURN,VA,20147,(703) 777-0343,Child Day Center,Two Year,"7:30am - 6:00pm, Monday - Friday",75,No
Loudoun P&R - Douglass Community Center,405 E. Market Street,LEESBURG,VA,20175,(703) 771-5913,Child Day Center,Two Year,120,2 years 6 months - 12 years 11 months,No
Loudoun P&R - Evergreen Mill CASA and Camp,"491 Evergreen Mill Road, SE",LEESBURG,VA,20175,(703) 779-0251,Child Day Center,Two Year,"2 pm - 6:15 pm, Monday - Friday",75,No
Loudoun P&R - Forest Grove CASA and Camps,46245 Forest Ridge Drive,STERLING,VA,20164,(571) 434-4560,Child Day Center,Two Year,"2 pm - 6:16 pm, Monday - Friday",72,No
Loudoun P&R - Frances Hazel Reid CASA and Camp,800 North King Street,LEESBURG,VA,20176,(703) 777-0357,Child Day Center,Two Year,"2:00 PM - 6:00 PM, Monday - Friday",72,No
Loudoun P&R - Frederick Douglas CASA and Camps,510 Principal Drummond Way SE,LEESBURG,VA,20175,(703) 777-0357,Child Day Center,Two Year,"2:30 p.m. - 6:00 p.m., Monday - Friday",75,No
Loudoun P&R - Hillside CASA and Camps,43000 Ellzey Drive,ASHBURN,VA,20148,(703) 777-0357,Child Day Center,Two Year,"2:00 pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R - Horizon CASA,46665 Broadmore Drive,STERLING,VA,20165,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R - Hutchison Farm CASA and Camp,42819 Center Street,CHANTILLY,VA,20152,(703) 327-0673,Child Day Center,Two Year,"2:00 pm - 6:15 pm, Monday - Friday",75,No
Loudoun P&R - John W. Tolbert Jr. CASA and Camps,691 Potomac Station Drive NE,LEESBURG,VA,20176,(703) 737-8710,Child Day Center,Two Year,"2 pm - 6:15 pm, Monday - Friday",72,No
Loudoun P&R - Kenneth W. Culbert CASA and Camp,38180 W. Colonial Highway,HAMILTON,VA,20158,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R - Leesburg CASA and Camps,323 Plaza Street,LEESBURG,VA,20176,(703) 779-7549,Child Day Center,Two Year,"3:00 pm - 6:15 pm, Monday - Friday",72,No
Loudoun P&R - Legacy CASA and Camps,22995 Minerva Drive,ASHBURN,VA,20148,(703) 327-0343,Child Day Center,Two Year,"2:30pm - 6:15pm, Monday - Friday",90,No
Loudoun P&R - Liberty CASA and Camp,25491 Riding Center Drive,CHANTILLY,VA,20152,(703) 777-0357,Child Day Center,Two Year,"2:30pm - 6:00pm, Monday - Friday",72,No
Loudoun P&R - Little River CASA,43464 Hyland Hills Street,CHANTILLY,VA,20152,(703) 777-0357,Child Day Center,Two Year,"2:00 pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R - Loudoun Valley Community Center,320 West School Street,PURCELLVILLE,VA,20132,(540) 338-4122,Child Day Center,Two Year,130,3 years - 12 years 11 months,No
Loudoun P&R - Lovettsville CASA and Camps,49 S. Loudoun Street,LOVETTSVILLE,VA,20180,(703) 777-0357,Child Day Center,Two Year,"2 pm - 6 pm, Monday - Friday",54,No
Loudoun P&R - Lovettsville Community Center,57 East Broad Way,LOVETTSVILLE,VA,20180,(540) 338-5882,Child Day Center,Two Year,99,3 years - 12 years 11 months,No
Loudoun P&R - Lowes Island CASA,"20145 Ashbrook Place
Suite 170",ASHBURN,VA,20147,(703) 444-1645,Child Day Center,Two Year,"7:30 AM - 6:00 PM, Monday - Friday",75,No
Loudoun P&R - Lucketts Community Center,42361 Lucketts Road,LEESBURG,VA,20176,(703) 777-0357,Child Day Center,Two Year,60,3 years - 12 years 11 months,No
Loudoun P&R - Madison's Trust CASA and Camp,42380 Creighton Road,ASHBURN,VA,20148,(703) 777-0357,Child Day Center,Two Year,"SY: 2:00pm; Summer 7:30a - SY: 6:15pm; Summer 6:00pm, Monday - Friday",90,No
Loudoun P&R - Meadowland CASA and Camps,729 S. Sugarland Run Drive,STERLING,VA,20164,(703) 777-0357,Child Day Center,Two Year,"3:00pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R - Mill Run CASA and Camp,42940 Ridgeway Drive,ASHBURN,VA,20148,(703) 723-8025,Child Day Center,Two Year,"SY 2:00pm Summer 7:30am - SY 6:15pm. Summer 6pm, Monday - Friday",75,No
Loudoun P&R - Moorefield Station CASA & Camps,22325 Mooreview Parkway,ASHBURN,VA,20148,(703) 777-0357,Child Day Center,Two Year,120,3 years - 12 years 11 months,No
Loudoun P&R - Mountain View CASA and Camps,36803 Allder School Road,PURCELLVILLE,VA,20132,(703) 777-0357,Child Day Center,Two Year,"2pm - 6pm, Monday - Friday",75,No
Loudoun P&R - Newton-Lee CASA,43335 Gloucester Parkway,ASHBURN,VA,20147,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R - Philomont Community Center,36592 Jeb Stuart Road,PHILOMONT,VA,20131,(540) 338-5882,Child Day Center,Two Year,45,2 years 6 months - 12 years 11 months,No
Loudoun P&R - Pinebrook CASA,25480 Mindful Court,ALDIE,VA,20105,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R - Potowmack CASA and Camp,46465 Esterbrook Circle,STERLING,VA,20165,(703) 777-0357,Child Day Center,Two Year,"2:00 PM - 6:15 PM, Monday - Friday",75,No
Loudoun P&R - Rosa Lee Carter Elementary School CASA,43330 Loudoun Reserve Drive,ASHBURN,VA,20148,(571) 233-2349,Child Day Center,Two Year,"when schools ends - 6:16pm, Monday - Friday",72,No
Loudoun P&R - Round Hill CASA,17115 Evening Star Drive,ROUND HILL,VA,20141,(540) 338-6357,Child Day Center,Two Year,"2:30pm - 6 :15pm, Monday - Friday",72,No
Loudoun P&R - Sanders Corner CASA and Camp,"43100 Ashburn Farm Parkway
Sanders Corner Elem. School",ASHBURN,VA,20147,(703) 724-1142,Child Day Center,Two Year,"2:30 PM - 6:00 PM, Monday - Friday",72,No
Loudoun P&R - Selden's Landing CASA and Camps,43345 Coton Commons Drive,LEESBURG,VA,20176,(703) 723-5430,Child Day Center,Two Year,75,5 years - 12 years 11 months,No
Loudoun P&R - Sycolin Creek CASA and Camp,21100 Evergreen Mills Road,LEESBURG,VA,20175,(703) 777-0343,Child Day Center,Two Year,"2 pm - 6:15 pm, Monday - Friday",72,No
Loudoun P&R - Waterford CASA,15513 Loyalty Road,WATERFORD,VA,20197,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",50,No
Loudoun P&R-Dulles South Recreation & Community Center,24950 Riding Center Drive,CHANTILLY,VA,20152,(571) 258-3456,Child Day Center,Two Year,240,3 years - 12 years 11 months,No
Loudoun P&R-Steuart Weller Casa and Camp,20700 Marblehead Drive,ASHBURN,VA,20147,(703) 777-0357,Child Day Center,Two Year,"2:00pm - 6:15pm, Monday - Friday",72,No
Loudoun P&R-Waxpool CASA and Camps,42560 Black Angus Drive,ASHBURN,VA,20148,(703) 777-0343,Child Day Center,Conditional,"2:00pm - 6:00pm, Monday - Friday",90,No
"Love and Learn Child Care, LLC",5207 Nine Mile Road,RICHMOND,VA,23223,(804) 326-9388,Child Day Center,Two Year,32,1 year - 3 years 11 months,Yes
"Love and Learn Child Care, LLC",5168 & 5184 Nine Mile Road,RICHMOND,VA,23223,(804) 328-0444,Child Day Center,Two Year,135,3 years - 12 years 11 months,Yes
Lovettsville Montessori School,4 South Church Street,LOVETTSVILLE,VA,20180,(540) 822-3090,Child Day Center,Two Year,37,2 years 6 months - 12 years 11 months,No
"Loving Arms Academy, LLC",8 Dorothy Lane,STAFFORD,VA,22554,(540) 602-2647,Child Day Center,Two Year,58,1 month - 12 years 11 months,Yes
Loving Care Day Care Center,955 Bird Lane,SALEM,VA,24153,(540) 389-7371,Child Day Center,Two Year,90,1 month - 12 years 11 months,Yes
"Luca's Rainbow Bilingual Preschool, LLC",6335 Little River Turnpike,ALEXANDRIA,VA,22312,(571) 378-0551,Child Day Center,Two Year,24,2 years - 5 years 11 months,Yes
Lunenburg-Nottoway Educational Foundation,75 Ridge Road,BLACKSTONE,VA,23824,(434) 292-7218,Child Day Center,Two Year,120,2 years 6 months - 12 years 11 months,No
Luter Family YMCA Summer Day Camp (Pagan Pines),259 James Street,SMITHFIELD,VA,23430,(757) 365-4060,Child Day Center,Two Year,250,5 years - 12 years 11 months,No
Lyn Cag Bedford Head Start Center,"Bedford Primary School
807 College Street",BEDFORD,VA,24523,(434) 846-2778,Child Day Center,Two Year,40,3 years - 5 years 11 months,No
Lyn Cag Big Island Head Start Center,1114 School Days Road,BIG ISLAND,VA,24526,(434) 299-6048,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Lyn Cag Elon Head Start Center,"147 Younger Drive
Elon Elementary School",MADISON HEIGHTS,VA,24572,(434) 528-6496,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Lyn Cag Madison Heights Head Start Center,287 Learning Lane,MADISON HEIGHTS,VA,24572,(434) 846-6471,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Lyn Cag Moneta Head Start Center,1077 Town Circle Way,MONETA,VA,24121,(540) 297-1836,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Lyn Cag Northern Amherst Head Start Center,"575 Union Hill Road
Central Elementary School",AMHERST,VA,24521,(434) 946-5622,Child Day Center,Two Year,40,3 years - 5 years 11 months,No
Lyn Cag Old Forest Road Head Start,3704 Old Forest Road,LYNCHBURG,VA,24501,(434) 316-9471,Child Day Center,Two Year,81,3 years - 5 years 11 months,No
Lyn Cag Rustburg Head Start,25 Webbs Way Drive,RUSTBURG,VA,24588,No phone number available,Child Day Center,Conditional,17,3 years - 5 years 11 months,No
Lyn-Cag Stewartsville Head Start,"1138 Wildcat Road
Stewartsville Elementary School",GOODVIEW,VA,24095,(434) 846-2778,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Lynnhaven Colony Child Development Center,2217 West Great Neck Road,VA. BEACH,VA,23451,(757) 481-2909,Child Day Center,Two Year,125,1 month - 12 years,Yes
"Lyons of Judah Childcare & Learning Den, LLC",1100 Indian Lakes Boulevard,VIRGINIA BEACH,VA,23464,(757) 937-3854,Child Day Center,Two Year,42,1 month - 12 years 11 months,Yes
"M.C.'s Kids, Inc.",610 Academy Lane,SOUTH HILL,VA,23970,(434) 447-7740,Child Day Center,Two Year,150,1 month - 12 years 11 months,Yes
MACAA Hollymead Head Start,2775 Powell Creek Drive,CHARLOTTESVILLE,VA,22911,(434) 973-8301,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
MACAA Rockfish Head Start,200 Chapel Hollow Road,AFTON,VA,22920,(434) 361-9225,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
MACAA Tye River Head Start,5198 Thomas Nelson Highway,ARRINGTON,VA,22922,(434) 263-4147,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
"MILE HIGH KIDS & COMMUNITY DEV. , INC. HEAD START: St. Aidan's",3201 Edinburgh Drive,VIRGINIA BEACH,VA,23452,(757) 233-0902,Child Day Center,Two Year,18,3 years - 5 years 11 months,No
"MINE, ME & US MONTESSORI SCHOOL",2470 Research Center Drive,BLACKSBURG,VA,24060,(540) 808-3838,Child Day Center,Two Year,100,1 month - 9 years 11 months,No
MPC Preschool,50 Indian Trail Road,PENN LAIRD,VA,22846,(540) 246-3125,Child Day Center,Two Year,50,1 year 11 months - 12 years 11 months,No
Madison Day School,"722 North Henry Street
1106 Madison Street",ALEXANDRIA,VA,22314,(703) 299-9800,Child Day Center,Two Year,126,1 month - 5 years 11 months,No
Madison Day School - Custis Avenue,203 East Custis Avenue,ALEXANDRIA,VA,22301,(703) 299-9800,Child Day Center,Two Year,92,1 month - 5 years 11 months,No
Madison Learning Center Incorporated,634 South Main Street,MADISON,VA,22727,(540) 738-2617,Child Day Center,Conditional,120,1 month - 12 years 11 months,Yes
Magnolia Ridge Child Development Center,1300 Virginia Center Parkway,GLEN ALLEN,VA,23059,(804) 515-1933,Child Day Center,Two Year,199,1 month - 12 years 11 months,Yes
Main Street Baptist Church Learning Center,517 W. Main Street,SMITHFIELD,VA,23430,(757) 357-2604,Child Day Center,Two Year,75,2 years - 12 years 11 months,Yes
Main Street Child Development Center,4401 Sideburn Road,FAIRFAX,VA,22030,(703) 273-1192,Child Day Center,Two Year,115,2 years - 12 years 11 months,Yes
Main Street Day Care,202 North Main Street,SUFFOLK,VA,23434,(757) 539-3431,Child Day Center,Two Year,150,1 month - 12 years 11 months,No
Making A Difference Step By Step,264 Presidential Boulevard,VIRGINIA BEACH,VA,23452,(757) 300-6765,Child Day Center,Two Year,55,Birth - 12 years 11 months,Yes
Manassas Christian School,9296 W. Carondelet Drive,MANASSAS PARK,VA,20111-3075,(703) 393-6555,Child Day Center,Two Year,300,4 years 6 months - 12 years 11 months,No
Maple Lawn Montessori,100 Nadia Street,MANASSAS,VA,20111,(703) 335-8833,Child Day Center,Conditional,140,Birth - 12 years 11 months,Yes
Maple Lawn Montessori,7800 Garner Drive,MANASSAS,VA,20110,(703) 479-7447,Child Day Center,Two Year,120,1 month - 12 years 11 months,Yes
Maple Lawn Montessori,"4229 Lafayette Center Drive
Suite 1600",CHANTILLY,VA,20151,(703) 955-7202,Child Day Center,Two Year,201,Brenda Kuhlman: (703) 304-9609,Yes
Maplewood Child Care Center,4513 Lee Highway,WARRENTON,VA,20187-2326,(540) 349-1147,Child Day Center,Two Year,80,1 year 4 months - 6 years 11 months,No
Maria Teresa's Babies Early Enrichment Center,825 23rd Street,ARLINGTON,VA,22202,(703) 979-2229,Child Day Center,Two Year,68,Birth - 5 years 11 months,No
Marion Baptist Church Child Development Program,1258 North Main Street,MARION,VA,24354,(276) 783-3303,Child Day Center,Two Year,100,2 months - 6 years 11 months,No
Marmion Head Start Child Development Center,1114 Grayson Avenue NW,ROANOKE,VA,24017,(540) 345-1194,Child Day Center,Two Year,36,2 years 11 months - 5 years 11 months,Yes
Mary Bethune Academy,2249 Halifax Street,LYNCHBURG,VA,24501,(434) 847-4221,Child Day Center,Two Year,92,1 month - 10 years 11 months,Yes
Mary Bethune Head Start Center,1030 Cowford Road,HALIFAX,VA,24558,(434) 476-1122,Child Day Center,Two Year,20,2 years 10 months - 5 years 11 months,No
Mathews Family YMCA - Thomas Hunter Middle School,387 Church Street,MATHEWS,VA,23109,(804) 384-6769,Child Day Center,Two Year,50,5 years - 12 years 11 months,Yes
Matoaka Elementary School,4001 Brick Bat Road,WILLIAMSBURG,VA,23188,(757) 259-5378,Child Day Center,Two Year,"7:00am - 6:00pm, Monday - Friday",200,No
Matthew Whaley Elementary,301 Scotland Street,WILLIAMSBURG,VA,23185,(757) 592-3463,Child Day Center,Two Year,"7:00am - 9:20am - 3:30pm- 6:00pm, Monday - Friday",120,No
McCready Head Start Center,145 Upper Poor Valley Road,SALTVILLE,VA,24370,(276) 988-5583,Child Day Center,Two Year,51,2 years 10 months - 5 years 11 months,No
McDonald Montessori,4200 Granby Street,NORFOLK,VA,23504,(757) 423-1800,Child Day Center,Two Year,125,2 years 6 months - 10 years 11 months,No
McIntosh School Age Program,185 Richneck Road,NEWPORT NEWS,VA,23606,(757) 926-1400,Child Day Center,Two Year,"6:00 am - 6:30 pm, Monday - Friday",120,Yes
McLean Children's Academy,6900 Elm Street,MC LEAN,VA,22101,(703) 734-2353,Child Day Center,Two Year,36,2 years 6 months - 12 years 11 months,No
McLean Preschool,8991 Brook Road,MC LEAN,VA,22102,(703) 442-4766,Child Day Center,Two Year,50,2 years - 7 years 11 months,No
Meadowbrook Child Development Ctr,555 Winchester Street,WARRENTON,VA,20186-2508,(540) 349-4354,Child Day Center,Two Year,70,2 months - 12 years 11 months,Yes
"Meadowland Learning Center, Inc.",83 Royal Lane,FRONT ROYAL,VA,22630,(540) 635-6630,Child Day Center,Two Year,125,Birth - 12 years 11 months,Yes
Melrose Adventist Child Development Center,"1523 Melrose Avenue, NW",ROANOKE,VA,24017,(540) 685-4739,Child Day Center,Two Year,80,2 years - 12 years 11 months,Yes
Merrifield Child Development Academy,8122 Ransell Road,FALLS CHURCH,VA,22042,(703) 204-0203,Child Day Center,Two Year,60,1 year 4 months - 10 years 11 months,Yes
Merritt Academy,9211 Arlington Boulevard,FAIRFAX,VA,22031,(703) 273-8000,Child Day Center,Two Year,450,1 month - 12 years 11 months,No
"Metaphor Academic Center for Russian Language & Culture, LLC",7000 Arlington Blvd,FALLS CHURCH,VA,22042,(202) 492-2282,Child Day Center,Two Year,72,2 years - 10 years 11 months,No
Metta Montessori School,1012 S. Cleveland Street,ARLINGTON,VA,22204,(703) 920-0021,Child Day Center,Two Year,62,1 year - 12 years 11 months,No
Michele's Place for Children,2603 Semmes Ave.,RICHMOND,VA,23225,(804) 233-2769,Child Day Center,Two Year,17,1 year 6 months - 12 years 11 months,No
Michuchutren,3740 Old Lee Highway,FAIRFAX,VA,22030,(703) 717-2687,Child Day Center,Two Year,45,2 years 6 months - 9 years 11 months,No
Middle School REC Connect,5301 Longhill Road,WILLIAMSBURG,VA,23188,(757) 592-3467,Child Day Center,Two Year,"2:30 pm - 6:00 pm, Monday - Friday",120,No
Middleburg Montessori School,7274 Rector's Lane,MARSHALL,VA,20115-3631,(540) 687-5210,Child Day Center,Two Year,40,Birth - 6 years 11 months,No
Middlesex Family YMCA Operated by Peninsula Metropolitan YMCA,11487 General Puller Highway,HARTFIELD,VA,23071,(804) 316-9191,Child Day Center,Two Year,90,4 years 9 months - 12 years 11 months,Yes
Middlesex Head Start Center,1823 Philpot Road,LOCUST HILL,VA,23092,(804) 758-3257,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Midlothian Children's Academy of Sommerville,14330 Sommerville Court,MIDLOTHIAN,VA,23113,(804) 897-9050,Child Day Center,Conditional,168,1 month - 12 years 11 months,No
Midlothian Kids Academy,6761 Temie Lee Parkway,MIDLOTHIAN,VA,23112,(804) 293-4133,Child Day Center,Two Year,285,1 month - 12 years 11 months,Yes
Midlothian Montessori,122 N. Courthouse Road,RICHMOND,VA,23236,(804) 794-8661,Child Day Center,Two Year,27,2 years 6 months - 11 years 11 months,No
"Mighty Minds, Little Hands International Preschool, LLC",2117 Angus Road,CHARLOTTESVILLE,VA,22901,(434) 975-4263,Child Day Center,Two Year,83,1 month - 11 years 11 months,Yes
"Mile High Kids & Community Dev. , Inc. Head Start: Twin Canal",1484 Drawbridge Circle,VIRGINIA BEACH,VA,23453,(757) 383-6983,Child Day Center,Two Year,18,3 years - 5 years,No
"Mile High Kids & Community Dev., Inc. Head Start: Atlantis Camp",999 Atlantis Drive,VIRGINIA BEACH,VA,23451,(757) 226-7111,Child Day Center,Two Year,30,3 years - 5 years 11 months,No
Mile High Kids Head Start Academy,350 Lynn Shores Drive,VIRGINIA BEACH,VA,23452,(757) 937-8145,Child Day Center,Two Year,136,3 years - 9 years 11 months,No
Milestones Child Development Center,700 Fernwood Farms Road,CHESAPEAKE,VA,23320,(757) 548-3300,Child Day Center,Two Year,90,1 month - 12 years 11 months,Yes
Milestones Childcare,430 & 431 South Locust Street,FLOYD,VA,24019,No phone number available,Child Day Center,Two Year,81,1 month - 12 years 11 months,Yes
Mill Creek Child Care Center,11475 Lee Highway,FINCASTLE,VA,24090,(540) 992-2232,Child Day Center,Two Year,120,2 years - 12 years 11 months,Yes
Millstone of Ivy,3275 Morgantown Road,IVY,VA,22945,(434) 979-2111,Child Day Center,Two Year,93,2 years - 6 years 11 months,No
Millwood School,15100 Millwood School Lane,MIDLOTHIAN,VA,23112,(804) 639-3200,Child Day Center,Two Year,59,4 years - 12 years 11 months,No
Mimmie's Learning Academy,724 Baker Road,VIRGINIA BEACH,VA,23462,(757) 965-3240,Child Day Center,Two Year,35,2 years - 12 years 11 months,Yes
Mini Miracles Learning Center,"4801 Shore Drive
Suite F & G",VIRGINIA BEACH,VA,23455,(757) 460-1237,Child Day Center,Two Year,99,1 month - 12 years 11 months,Yes
Mini Miracles Learning Center 2 Inc.,5036 East Princess Anne Road,NORFOLK,VA,23502,(757) 222-3002,Child Day Center,Two Year,70,1 month - 12 years 11 months,Yes
Mini World Child Care Center,501 Colorado Street,SALEM,VA,24153,(540) 387-3225,Child Day Center,Two Year,200,1 year 4 months - 12 years 11 months,Yes
"Mini-World Child Care Center, Inc. - Botetourt",3199 Read Mountain Road,ROANOKE,VA,24019,(540) 992-6651,Child Day Center,Two Year,131,1 year 4 months - 12 years 11 months,Yes
Minnieland - A Child's Place II,7030 Bluefield Drive,FREDERICKSBURG,VA,22407,(540) 785-2244,Child Day Center,Two Year,165,Birth - 12 years 11 months,Yes
Minnieland Academy #27,6001 Centreville Crest Lane,CENTREVILLE,VA,20121,(703) 266-0880,Child Day Center,Two Year,150,1 month - 12 years 11 months,Yes
Minnieland Academy @ Ashbriar (#60),43560 Suzanne Hope Way,ASHBURN,VA,20147,(703) 762-9090,Child Day Center,Two Year,188,1 month - 12 years 11 months,Yes
Minnieland Academy @ Belmont,43900 Russell Branch Parkway,ASHBURN,VA,20147,(571) 442-8358,Child Day Center,Two Year,209,1 month - 12 years 11 months,Yes
Minnieland Academy @ Gunston (#11),7752 Gunston Plaza,LORTON,VA,22079,(703) 550-2102,Child Day Center,Two Year,120,1 month - 12 years 11 months,Yes
Minnieland Academy @ Kirkpatrick Farms (#36),25375 Supreme Drive,ALDIE,VA,20105,(703) 957-3484,Child Day Center,Two Year,305,0.0 years 1.0 months - 12.0 years 11.0 months,Yes
Minnieland Academy @ Lorton Station #23,9467 Lorton Market Street,LORTON,VA,22079,(703) 372-2960,Child Day Center,Two Year,143,1 month - 12 years 11 months,Yes
Minnieland Academy @ South Riding (#63),25400 South Riding Blvd,SOUTH RIDING,VA,20152,(703) 327-6618,Child Day Center,Two Year,128,1 month - 12 years 11 months,Yes
Minnieland Academy @ Stone Ridge (#28),24859 Serpentine Place,ALDIE,VA,20105,(703) 327-0078,Child Day Center,Two Year,195,1 month - 12 years 11 months,Yes
Minnieland Academy @ Sully Station (#64),5801 Stone Creek Drive,CENTREVILLE,VA,20120,(703) 449-8123,Child Day Center,Two Year,277,2 months - 12 years 11 months,Yes
Minnieland Academy AT Technology,9511 Technology Drive,MANASSAS,VA,20110-4150,(703) 330-9507,Child Day Center,Two Year,130,Birth - 12 years 11 months,Yes
Minnieland Academy At Ashland,5555 Assateague Place,MANASSAS,VA,20112-5434,(703) 680-2100,Child Day Center,Two Year,203,1 month - 12 years 11 months,Yes
Minnieland Academy At Braemar,12700 Correen Hills Drive,BRISTOW,VA,20136-5617,(703) 396-7447,Child Day Center,Two Year,190,1 month - 12 years 11 months,Yes
Minnieland Academy At Central Park,"1420 Central Park Boulevard
Suite 110",FREDERICKSBURG,VA,22401,(540) 786-5544,Child Day Center,Two Year,184,Birth - 12 years 11 months,Yes
Minnieland Academy At Cloverdale,3498 Cranmer Mews,DALE CITY,VA,22193,(703) 590-4343,Child Day Center,Two Year,244,Birth - 12 years 11 months,Yes
Minnieland Academy At Dominion Valley #35,5255 Merchants View Square,HAYMARKET,VA,20169-5440,(703) 753-7480,Child Day Center,Two Year,200,Birth - 12 years 11 months,Yes
Minnieland Academy At England Run,151 Lichfield Boulevard,FREDERICKSBURG,VA,22406,(540) 373-8877,Child Day Center,Two Year,144,Birth - 12 years 11 months,Yes
Minnieland Academy At Gainesville,8299 Harness Shop Road,GAINESVILLE,VA,20155-2932,(703) 753-2213,Child Day Center,Two Year,164,Birth - 12 years 11 months,Yes
Minnieland Academy At Leavells Road,11117 Leavells Road,FREDERICKSBURG,VA,22407,(540) 898-9269,Child Day Center,Two Year,195,Birth - 12 years 11 months,Yes
Minnieland Academy At North Stafford,19 Soaring Eagle Drive,STAFFORD,VA,22556,(540) 658-1000,Child Day Center,Two Year,192,Birth - 12 years 11 months,Yes
